Эпизод: 1/1000 | Награда (Очки): 14.0 | Epsilon: 1.00
Эпизод: 2/1000 | Награда (Очки): 22.0 | Epsilon: 1.00
Эпизод: 3/1000 | Награда (Очки): 46.0 | Epsilon: 0.91
Эпизод: 4/1000 | Награда (Очки): 15.0 | Epsilon: 0.84
Эпизод: 5/1000 | Награда (Очки): 13.0 | Epsilon: 0.79
Эпизод: 6/1000 | Награда (Очки): 35.0 | Epsilon: 0.66
Эпизод: 7/1000 | Награда (Очки): 13.0 | Epsilon: 0.62
Эпизод: 8/1000 | Награда (Очки): 17.0 | Epsilon: 0.57
Эпизод: 9/1000 | Награда (Очки): 21.0 | Epsilon: 0.51
Эпизод: 10/1000 | Награда (Очки): 16.0 | Epsilon: 0.47
Эпизод: 11/1000 | Награда (Очки): 11.0 | Epsilon: 0.45
Эпизод: 12/1000 | Награда (Очки): 13.0 | Epsilon: 0.42
Эпизод: 13/1000 | Награда (Очки): 9.0 | Epsilon: 0.40
Эпизод: 14/1000 | Награда (Очки): 15.0 | Epsilon: 0.37
Эпизод: 15/1000 | Награда (Очки): 21.0 | Epsilon: 0.34
Эпизод: 16/1000 | Награда (Очки): 13.0 | Epsilon: 0.31
Эпизод: 17/1000 | Награда (Очки): 9.0 | Epsilon: 0.30
Эпизод: 18/1000 | Награда (Очки): 9.0 | Epsilon: 0.29
Эпизод: 19/1000 | Награда (Очки): 12.0 | Epsilon: 0.27
Эпизод: 20/1000 | Награда (Очки): 10.0 | Epsilon: 0.26
Эпизод: 21/1000 | Награда (Очки): 10.0 | Epsilon: 0.24
Эпизод: 22/1000 | Награда (Очки): 9.0 | Epsilon: 0.23
Эпизод: 23/1000 | Награда (Очки): 13.0 | Epsilon: 0.22
Эпизод: 24/1000 | Награда (Очки): 10.0 | Epsilon: 0.21
Эпизод: 25/1000 | Награда (Очки): 13.0 | Epsilon: 0.20
Эпизод: 26/1000 | Награда (Очки): 10.0 | Epsilon: 0.19
Эпизод: 27/1000 | Награда (Очки): 10.0 | Epsilon: 0.18
Эпизод: 28/1000 | Награда (Очки): 11.0 | Epsilon: 0.17
Эпизод: 29/1000 | Награда (Очки): 10.0 | Epsilon: 0.16
Эпизод: 30/1000 | Награда (Очки): 11.0 | Epsilon: 0.15
Эпизод: 31/1000 | Награда (Очки): 14.0 | Epsilon: 0.14
Эпизод: 32/1000 | Награда (Очки): 11.0 | Epsilon: 0.13
Эпизод: 33/1000 | Награда (Очки): 8.0 | Epsilon: 0.13
