Эпизод: 1/500 | Награда (Очки): 27.0 | Epsilon: 1.00
Эпизод: 2/500 | Награда (Очки): 54.0 | Epsilon: 0.91
Эпизод: 3/500 | Награда (Очки): 9.0 | Epsilon: 0.87
Эпизод: 4/500 | Награда (Очки): 31.0 | Epsilon: 0.75
Эпизод: 5/500 | Награда (Очки): 36.0 | Epsilon: 0.62
Эпизод: 6/500 | Награда (Очки): 12.0 | Epsilon: 0.59
Эпизод: 7/500 | Награда (Очки): 27.0 | Epsilon: 0.51
Эпизод: 8/500 | Награда (Очки): 14.0 | Epsilon: 0.48
Эпизод: 9/500 | Награда (Очки): 10.0 | Epsilon: 0.46
Эпизод: 10/500 | Награда (Очки): 10.0 | Epsilon: 0.43
Эпизод: 11/500 | Награда (Очки): 17.0 | Epsilon: 0.40
Эпизод: 12/500 | Награда (Очки): 27.0 | Epsilon: 0.35
Эпизод: 13/500 | Награда (Очки): 9.0 | Epsilon: 0.33
Эпизод: 14/500 | Награда (Очки): 9.0 | Epsilon: 0.32
Эпизод: 15/500 | Награда (Очки): 11.0 | Epsilon: 0.30
Эпизод: 16/500 | Награда (Очки): 11.0 | Epsilon: 0.28
Эпизод: 17/500 | Награда (Очки): 14.0 | Epsilon: 0.26
Эпизод: 18/500 | Награда (Очки): 12.0 | Epsilon: 0.25
Эпизод: 19/500 | Награда (Очки): 11.0 | Epsilon: 0.24
Эпизод: 20/500 | Награда (Очки): 8.0 | Epsilon: 0.23
Эпизод: 21/500 | Награда (Очки): 10.0 | Epsilon: 0.22
Эпизод: 22/500 | Награда (Очки): 14.0 | Epsilon: 0.20
Эпизод: 23/500 | Награда (Очки): 12.0 | Epsilon: 0.19
Эпизод: 24/500 | Награда (Очки): 10.0 | Epsilon: 0.18
Эпизод: 25/500 | Награда (Очки): 11.0 | Epsilon: 0.17
Эпизод: 26/500 | Награда (Очки): 9.0 | Epsilon: 0.16
Эпизод: 27/500 | Награда (Очки): 12.0 | Epsilon: 0.15
Эпизод: 28/500 | Награда (Очки): 9.0 | Epsilon: 0.15
Эпизод: 29/500 | Награда (Очки): 11.0 | Epsilon: 0.14
Эпизод: 30/500 | Награда (Очки): 11.0 | Epsilon: 0.13
Эпизод: 31/500 | Награда (Очки): 10.0 | Epsilon: 0.12
Эпизод: 32/500 | Награда (Очки): 9.0 | Epsilon: 0.12
Эпизод: 33/500 | Награда (Очки): 12.0 | Epsilon: 0.11
Эпизод: 34/500 | Награда (Очки): 9.0 | Epsilon: 0.11
Эпизод: 35/500 | Награда (Очки): 11.0 | Epsilon: 0.10
Эпизод: 36/500 | Награда (Очки): 10.0 | Epsilon: 0.10
